"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-03-30T17:50:37.000Z","text","꿈이 없다면, 인생은 쓰다.","","","","",""
"2023-03-30T17:20:40.000Z","text","글쓰는 일이 이 세상에서 가장 중요한 일이라고 생각해야 된다.","","","","",""
"2023-03-30T16:50:37.000Z","text","이아페토스=오케아노스와 테티스 사이의 딸 클뤼메네와 결혼","","","","",""
"2023-03-30T16:20:44.000Z","text","사람마다 취미가 다르다.","","","","",""
"2023-03-30T15:50:35.000Z","text","덕이란 청결이다.","","","","",""
"2023-03-30T15:20:40.000Z","text","최초의 발굴 마스터 "카달"","","","","",""
"2023-03-30T14:50:45.000Z","text","자신감과 지식이 없다면, 성공의 길은 힘들고 치명적인 것이다.","","","","",""
"2023-03-30T14:20:52.000Z","text","순리에 따르라.","","","","",""
"2023-03-30T13:50:40.000Z","text","바보는 모두가 벽이 있다.","","","","",""
"2023-03-30T12:50:40.000Z","text","사랑 이야기를 함으로써 사랑하게 된다.","","","2","",""
"2023-03-30T12:20:45.000Z","text","명예는 정직한 수고에 있다.","","","","",""
"2023-03-30T11:50:39.000Z","text","헤라=신들의 여왕, 결혼, 질투, 여성의 여신, 제우스의 누나","","","","",""
"2023-03-30T11:20:47.000Z","text","어떤 일이라도 노력을 하면, 한 것만큼의 효과가 있는 바이다.","","","","",""
"2023-03-30T10:50:38.000Z","text","열매를 보고 나무를 안다.","","","","",""
"2023-03-30T10:20:50.000Z","text","자진하여 나서기를 두려워하지 말 것.","","","","",""
"2023-03-30T09:50:37.000Z","text","하늘은 견딜 수 없는 슬픔을 인간에게 주지는 않는다.","","","","",""
"2023-03-30T09:20:45.000Z","text","모자라는 것도 일종의 미다.","","","","",""
"2023-03-30T08:50:40.000Z","text","미래를 알고 싶으면 먼저 지나간 일들을 살피라.","","","","",""
"2023-03-30T08:20:47.000Z","text","사탄=천국에서 가장 완벽하고 아름다웠다는 천사","","","","1",""
"2023-03-30T07:50:38.000Z","text","기회는 새와 같은 것, 날아가기 전에 꼭 잡아라.","","","","",""
"2023-03-30T07:20:48.000Z","text","혹 떼러 갔다가 혹 붙여 가지고 돌아오다.","","","","",""
"2023-03-30T06:50:39.000Z","text","알티브라키디온 : 브라키디온 20개의 크기의 정령석","","","","",""
"2023-03-30T06:20:47.000Z","text","미래는 현재에 의해서 없어진다.","","","","",""
"2023-03-30T05:50:39.000Z","text","빛의 여신 엘(El)","","","","",""
"2023-03-30T05:20:47.000Z","text","어두운 곳에서는 모든 것이 분명치 않다.","","","","",""
"2023-03-30T04:50:39.000Z","text","인간은 기회를 발견하려고 노력하는 동시에, 스스로 그것을 만들어내기도 해야 한다.","","","","",""
"2023-03-30T04:20:52.000Z","text","0014H=에이본 - 하스터(Hastur)의 의지에 따라 불변에 소재(메레다인)으로 예언서를 쓰다.","","","","",""
"2023-03-30T03:50:37.000Z","text","궁핍은 영혼과 정신을 낳고, 불행은 위대한 인물을 낳는다.","","","","",""
"2023-03-30T03:20:46.000Z","text","유익인X를 잡기 위해서는 성궁사의 활이 가장 적당하지","","","","",""
"2023-03-30T02:50:40.000Z","text","닉스=태고에 있었던 카오스때 한 부분을 차지했던 여신","","","","",""
"2023-03-30T02:20:47.000Z","text","크레이오스=12티탄중 1인으로 폰토스와 가이아 사이에서 낳은 딸","","","","",""
"2023-03-30T01:50:40.000Z","text","하나의 작은 꽃을 만드는 데도 오랜 세월의 노력이 필요하다.","","","","",""
"2023-03-30T01:20:47.000Z","text","방해가 크면 클수록 욕망은 더 커진다.","","","","",""
"2023-03-30T00:50:38.000Z","text","히페리온=그리스어로 하늘을 달리는 자라는 뜻","","","","",""
"2023-03-30T00:20:47.000Z","text","꿈이 없다면, 인생은 쓰다.","","","","",""
"2023-03-29T23:50:39.000Z","text","남의 앞에 나서는 것을 두려워하지 말라.","","","","",""
"2023-03-29T23:20:49.000Z","text","릴리스=사탄의 아내이자 아담의 신부였던 여악마왕입니다.","","","","",""
"2023-03-29T22:50:35.000Z","text","사후약방문","","","","",""
"2023-03-29T22:20:44.000Z","text","물의 남신 휴도라(Hudora)","","","","",""
"2023-03-29T21:50:35.000Z","text","분노를 억제하지 못하는 것은 절제와 수양이 부족한탓이다.","","","","",""
"2023-03-29T21:20:38.000Z","text","헤라=신들의 여왕, 결혼, 질투, 여성의 여신, 제우스의 누나","","","","",""
"2023-03-29T20:50:39.000Z","text","다라 = 물 계열의 기초 마법","","","","",""
"2023-03-29T20:20:41.000Z","text","전화위복","","","","",""
"2023-03-29T19:50:35.000Z","text","행복하다고 믿어야한다. 그렇지 않으면 행복은 결코 오지 않는다.","","","1","1",""
"2023-03-29T19:20:41.000Z","text","인간이 계획하고, 신이 처리한다.","","","","",""
"2023-03-29T18:50:35.000Z","text","재난이 닥쳐올 때는 부딪치는 것이 좋다.","","","","1",""
"2023-03-29T18:20:42.000Z","text","미래는 현재에 의해서 없어진다.","","","","",""
"2023-03-29T17:50:36.000Z","text","사탄=지옥의 왕으로 악마의 군주요 아마겟돈의 피를 주는 자입니다.","","","","",""
"2023-03-29T17:20:40.000Z","text","해야 할 일이라고 깨달은 일에 대해서는 전력을 다하여 행하라.","","","","",""
"2023-03-29T16:50:36.000Z","text","거짓말은 불행을 몰고 오는 여신의 기수이다.","","","","",""
"2023-03-29T15:50:36.000Z","text","굶어서 맛없는 게 있다?","","","","",""
"2023-03-29T15:20:40.000Z","text","공포감은 이 세상의 어떠한 것보다도 수많은 사람들을 패배로 몰라 넣었다.","","","","",""
"2023-03-29T14:50:39.000Z","text","내 조사에 의하면 좀비의 레벨은 25~35 사이인것 같았어..","","","","",""
"2023-03-29T14:20:51.000Z","text","자비와 사랑, 그리고 동정심이 있는 곳에 신은 존재한다.","","","","",""
"2023-03-29T13:20:48.000Z","text","두려움 없는 마음은 가장 빠르게 정상에 도달한다.","","","","",""
"2023-03-29T12:50:40.000Z","text","바보는 모두가 벽이 있다.","","","","",""
"2023-03-29T12:20:48.000Z","text","그림은 화가의 마음과 보는 사람의 마음을 연결하는 교량이다.","","","3","",""
"2023-03-29T11:50:39.000Z","text","닉스=태고에 있었던 카오스때 한 부분을 차지했던 여신","","","","",""
"2023-03-29T11:20:50.000Z","text","책임은 돈으로 살 수 없다.","","","","",""
"2023-03-29T10:50:39.000Z","text","괴로움이 없는 가난함은 비참한 부자보다 낫다.","","","","",""
"2023-03-29T10:20:51.000Z","text","좀비는 로랜시아 광산 지하에서 출현한다.","","","","",""
"2023-03-29T09:50:38.000Z","text","평판은 최선의 소개장이다.","","","","",""
"2023-03-29T09:20:45.000Z","text","어떤 일이라도 노력을 하면, 한 것만큼의 효과가 있는 바이다.","","","","",""
"2023-03-29T08:50:40.000Z","text","가정 생활과 결혼 생활에서 가장 소중하고 중요한 것은 인내다.","","","","",""
"2023-03-29T08:20:47.000Z","text","아무 것도 베풀 것이 없는 마음은 깨달아 찾아 낼 것이 거의 없다","","","","",""
"2023-03-29T07:50:38.000Z","text","성력 8년=메니티에 의한 로랜시아 마을의 마법 확산","","","","",""
"2023-03-29T07:20:48.000Z","text","능력은 비난 속에서는 시들고 말지만, 격려 가운데서는 꽃을 피우는 법이다.","","","","",""
